loan_amnt,term,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_fico_range_high,last_fico_range_low,delinq_amnt,pub_rec_bankruptcies,fico_average
5000.0,0,162.87,2,10,3,24000.0,2,1.0,0,27.65,0.0,1.0,3.0,0.0,13648.0,0.8370000000000001,9.0,744.0,740.0,0.0,0.0,737.0
2500.0,1,59.83,3,0,3,30000.0,1,0.0,0,1.0,0.0,5.0,3.0,0.0,1687.0,0.094,4.0,499.0,0.0,0.0,0.0,742.0
2400.0,0,84.33,3,10,3,12252.0,0,1.0,1,8.72,0.0,2.0,2.0,0.0,2956.0,0.985,10.0,719.0,715.0,0.0,0.0,737.0
10000.0,0,339.31,3,10,3,49200.0,1,1.0,2,20.0,0.0,1.0,10.0,0.0,5598.0,0.21,37.0,604.0,600.0,0.0,0.0,692.0
5000.0,0,156.46,1,3,3,36000.0,1,1.0,1,11.2,0.0,3.0,9.0,0.0,7963.0,0.28300000000000003,12.0,679.0,675.0,0.0,0.0,732.0
7000.0,1,170.08,3,8,3,47004.0,0,1.0,0,23.51,0.0,1.0,7.0,0.0,17726.0,0.856,11.0,654.0,650.0,0.0,0.0,692.0
3000.0,0,109.43,5,9,3,48000.0,1,1.0,0,5.35,0.0,2.0,4.0,0.0,8221.0,0.875,4.0,689.0,685.0,0.0,0.0,662.0
5600.0,1,152.39,6,4,2,40000.0,1,0.0,1,5.55,0.0,2.0,11.0,0.0,5210.0,0.326,13.0,499.0,0.0,0.0,0.0,677.0
5375.0,1,121.45,2,0,3,15000.0,2,0.0,2,18.08,0.0,0.0,2.0,0.0,9279.0,0.365,3.0,519.0,515.0,0.0,0.0,727.0
6500.0,1,153.45,3,5,2,72000.0,0,1.0,0,16.12,0.0,2.0,14.0,0.0,4032.0,0.206,23.0,734.0,730.0,0.0,0.0,697.0
12000.0,0,402.54,2,10,2,75000.0,1,1.0,0,10.78,0.0,0.0,12.0,0.0,23336.0,0.6709999999999999,34.0,669.0,665.0,0.0,0.0,677.0
9000.0,0,305.38,3,0,3,30000.0,1,0.0,0,10.08,0.0,1.0,4.0,0.0,10452.0,0.917,9.0,619.0,615.0,0.0,0.0,712.0
3000.0,0,96.68,2,3,3,15000.0,1,1.0,0,12.56,0.0,2.0,11.0,0.0,7323.0,0.431,11.0,734.0,730.0,0.0,0.0,707.0
10000.0,0,325.74,2,3,3,100000.0,1,0.0,2,7.06,0.0,2.0,14.0,0.0,11997.0,0.555,29.0,654.0,650.0,0.0,0.0,722.0
1000.0,0,35.31,4,0,3,28000.0,0,1.0,0,20.31,0.0,1.0,11.0,0.0,6524.0,0.815,23.0,769.0,765.0,0.0,0.0,667.0
10000.0,0,347.98,3,4,3,42000.0,0,1.0,1,18.6,0.0,2.0,14.0,0.0,24043.0,0.7020000000000001,28.0,639.0,635.0,0.0,0.0,672.0
3600.0,0,109.57,1,10,0,110000.0,0,1.0,1,10.52,0.0,0.0,20.0,0.0,22836.0,0.16,42.0,794.0,790.0,0.0,0.0,762.0
